"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_num"
"216",216,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",3,"Medical",1474,"high","Male","High (61-80)","high",1,"Research Scientist","high","Divorced","Low(1000-4000)",8045,2,"No",14,"high","high",1,8,3,"very high","Low(0-5 Years)",1,1,2,0
"217",217,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",3,"Medical",634,"high","Female","High (61-80)","high",2,"Healthcare Representative","high","Married","Medium (7001-10000)",22174,3,"No",19,"high","high",1,18,4,"high","Low(0-5 Years)",0,0,0,0
"218",218,"40 to 50","No","Travel_Frequently","Low(100-450)","Research & Development",">=16",3,"Medical",1900,"very high","Female","Medium (41-60)","high",4,"Manager","very high","Divorced","Very High (16001-19999)",2437,3,"No",11,"high","medium",1,24,3,"high","High (21-25 Years)",17,4,7,0
"219",219,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development",">=16",3,"Life Sciences",194,"low","Female","High (61-80)","high",1,"Research Scientist","high","Single","Low(1000-4000)",23910,1,"No",14,"high","high",0,5,4,"medium","Low(0-5 Years)",4,0,4,0
"220",220,"18 to 28","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",2,"Life Sciences",1275,"high","Male","Medium (41-60)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",9973,1,"Yes",20,"very high","medium",0,8,2,"medium","low-Medium (6-10 Years)",5,2,2,0
"221",221,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","<=2 miles",3,"Other",786,"very high","Male","Medium (41-60)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",18686,1,"No",22,"very high","high",0,6,5,"high","low-Medium (6-10 Years)",5,1,4,0
"222",222,"40 to 50","Yes","Travel_Frequently","Low(100-450)","Sales",">=16",4,"Life Sciences",684,"low","Female","Very High (81-110)","high",2,"Sales Executive","low","Married","low-Medium (4001-7000)",5630,2,"No",14,"high","very high",2,5,4,"high","Low(0-5 Years)",1,0,0,1
"223",223,"29 to 39","No","Non-Travel","Medium (451-800)","Sales",">=16",3,"Life Sciences",1681,"high","Female","Low(0-40)","high",2,"Sales Executive","very high","Divorced","low-Medium (4001-7000)",16130,1,"Yes",25,"very high","high",1,7,2,"high","low-Medium (6-10 Years)",5,1,2,0
"224",224,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",3,"Life Sciences",1506,"low","Male","High (61-80)","medium",1,"Research Scientist","high","Divorced","Low(1000-4000)",12530,1,"No",14,"high","very high",1,1,2,"low","Low(0-5 Years)",0,0,0,0
"225",225,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",2,"Life Sciences",1940,"medium","Male","High (61-80)","high",1,"Research Scientist","very high","Divorced","low-Medium (4001-7000)",14293,2,"No",19,"high","very high",2,10,0,"very high","Low(0-5 Years)",2,0,3,0
"226",226,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",2,"Medical",1989,"very high","Male","High (61-80)","high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",4077,1,"No",13,"high","high",0,12,6,"medium","Medium (11-15 Years)",8,1,7,0
"227",227,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",2,"Other",53,"high","Male","High (61-80)","high",1,"Laboratory Technician","very high","Divorced","Low(1000-4000)",10910,1,"No",12,"high","high",1,1,3,"high","Low(0-5 Years)",0,0,0,0
"228",228,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","3-5 miles",3,"Life Sciences",284,"very high","Male","Medium (41-60)","very high",1,"Research Scientist","medium","Divorced","Low(1000-4000)",12392,1,"Yes",16,"high","low",1,4,2,"medium","Low(0-5 Years)",2,2,2,0
"229",229,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Sales","3-5 miles",2,"Other",128,"low","Female","Low(0-40)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",17519,0,"No",21,"very high","low",1,4,2,"medium","Low(0-5 Years)",2,0,2,0
"230",230,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",1,"Life Sciences",1661,"high","Female","Medium (41-60)","medium",4,"Healthcare Representative","high","Married","High (13001-16000)",11652,2,"Yes",19,"high","medium",1,30,3,"high","Medium (11-15 Years)",11,2,12,0
"231",231,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",2,"Other",1635,"very high","Female","Medium (41-60)","medium",2,"Manufacturing Director","very high","Divorced","low-Medium (4001-7000)",5388,1,"No",19,"high","low",2,10,3,"high","low-Medium (6-10 Years)",7,3,9,0
"232",232,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","<=2 miles",3,"Marketing",49,"very high","Female","Very High (81-110)","high",1,"Sales Representative","very high","Married","Low(1000-4000)",9687,1,"No",13,"high","low",0,2,3,"high","Low(0-5 Years)",2,2,2,0
"233",233,"40 to 50","Yes","Travel_Frequently","High (801-1150)","Sales","6-9 miles",3,"Life Sciences",1716,"high","Male","Very High (81-110)","low",4,"Sales Executive","high","Married","Medium-High (10001-13000)",24164,7,"No",11,"high","high",0,25,3,"low","High (21-25 Years)",5,14,10,1
"234",234,"51 to 60","No","Travel_Rarely","High (801-1150)","Sales","3-5 miles",3,"Marketing",303,"very high","Female","Medium (41-60)","high",2,"Sales Executive","low","Married","low-Medium (4001-7000)",17011,2,"No",14,"high","very high",1,16,4,"high","low-Medium (6-10 Years)",2,0,5,0
"235",235,"40 to 50","No","Travel_Frequently","Low(100-450)","Sales",">=16",2,"Life Sciences",158,"high","Male","Very High (81-110)","high",4,"Manager","very high","Married","Very High (16001-19999)",19494,1,"Yes",12,"high","very high",2,25,3,"very high","High (21-25 Years)",12,4,12,0
"236",236,"29 to 39","Yes","Travel_Rarely","Medium (451-800)","Sales","<=2 miles",4,"Life Sciences",970,"low","Male","Medium (41-60)","medium",3,"Sales Executive","high","Married","Medium-High (10001-13000)",14922,5,"No",11,"high","high",0,17,2,"low","Medium (11-15 Years)",1,11,7,1
"237",237,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",2031,"low","Male","Medium (41-60)","high",5,"Manager","high","Married","Very High (16001-19999)",17312,5,"No",11,"high","low",0,24,2,"medium","High (21-25 Years)",6,4,14,0
"238",238,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",4,"Life Sciences",679,"low","Female","Very High (81-110)","high",2,"Research Scientist","very high","Married","low-Medium (4001-7000)",18089,1,"Yes",12,"high","very high",1,6,2,"medium","low-Medium (6-10 Years)",4,0,5,0
"239",239,"18 to 28","No","Travel_Rarely","Low(100-450)","Human Resources","<=2 miles",3,"Human Resources",1987,"high","Female","Very High (81-110)","high",1,"Human Resources","medium","Married","Low(1000-4000)",19655,4,"No",14,"high","high",0,6,3,"high","Low(0-5 Years)",0,1,2,0
"240",240,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development",">=16",5,"Life Sciences",1656,"very high","Female","Medium (41-60)","medium",3,"Research Director","low","Divorced","High (13001-16000)",21981,5,"No",15,"high","high",3,19,3,"high","Medium (11-15 Years)",11,1,11,0
"241",241,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development",">=16",3,"Medical",605,"very high","Male","Medium (41-60)","high",3,"Manufacturing Director","low","Married","Medium (7001-10000)",6950,1,"Yes",21,"very high","very high",1,10,5,"medium","low-Medium (6-10 Years)",9,5,8,0
"242",242,"40 to 50","No","Travel_Frequently","Low(100-450)","Research & Development",">=16",3,"Medical",1306,"medium","Female","Very High (81-110)","high",5,"Manager","medium","Single","Very High (16001-19999)",13035,3,"No",22,"very high","high",0,22,4,"high","Low(0-5 Years)",0,0,0,0
"243",243,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",3,"Life Sciences",94,"high","Male","High (61-80)","high",1,"Research Scientist","medium","Married","Low(1000-4000)",4956,0,"No",23,"very high","very high",1,6,3,"high","Low(0-5 Years)",4,0,4,0
"244",244,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Sales","6-9 miles",2,"Life Sciences",1439,"low","Male","High (61-80)","medium",1,"Sales Representative","low","Married","low-Medium (4001-7000)",15182,3,"No",12,"high","low",0,6,2,"high","Low(0-5 Years)",2,2,2,1
"245",245,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",1,"Medical",1150,"medium","Male","High (61-80)","medium",2,"Manufacturing Director","very high","Married","low-Medium (4001-7000)",17689,1,"Yes",15,"high","high",1,10,2,"medium","low-Medium (6-10 Years)",7,1,2,0
"246",246,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",1,"Medical",912,"low","Female","High (61-80)","medium",1,"Laboratory Technician","very high","Divorced","Low(1000-4000)",6054,6,"No",14,"high","high",3,8,5,"high","Low(0-5 Years)",3,0,3,0
"247",247,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",4,"Medical",462,"high","Female","Low(0-40)","high",3,"Manufacturing Director","very high","Single","Medium (7001-10000)",25713,1,"Yes",14,"high","high",0,11,2,"medium","Medium (11-15 Years)",9,4,10,0
"248",248,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","<=2 miles",4,"Medical",2013,"medium","Male","High (61-80)","medium",1,"Sales Representative","medium","Married","Low(1000-4000)",18024,0,"No",14,"high","medium",1,3,2,"high","Low(0-5 Years)",2,2,2,0
"249",249,"40 to 50","No","Travel_Frequently","Very High (1151-1500)","Research & Development",">=16",3,"Life Sciences",1392,"very high","Female","High (61-80)","high",2,"Research Scientist","very high","Divorced","low-Medium (4001-7000)",13953,3,"Yes",14,"high","low",2,12,4,"medium","low-Medium (6-10 Years)",2,3,3,0
"250",250,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",5,"Life Sciences",625,"medium","Female","Very High (81-110)","high",4,"Manager","low","Married","Very High (16001-19999)",5626,7,"No",16,"high","medium",1,22,2,"high","Medium-High (16-20 Years)",16,11,8,0
"251",251,"29 to 39","No","Non-Travel","Very High (1151-1500)","Research & Development","<=2 miles",2,"Medical",1994,"medium","Male","Medium (41-60)","medium",1,"Laboratory Technician","high","Divorced","Low(1000-4000)",20439,1,"No",12,"high","high",3,1,2,"medium","Low(0-5 Years)",1,0,0,0
"252",252,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales","6-9 miles",4,"Technical Degree",990,"low","Male","Very High (81-110)","high",2,"Sales Executive","very high","Divorced","low-Medium (4001-7000)",25952,4,"No",13,"high","very high",2,12,3,"high","low-Medium (6-10 Years)",7,0,7,0
"253",253,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",834,"medium","Female","Very High (81-110)","medium",1,"Research Scientist","high","Single","Low(1000-4000)",6153,1,"No",14,"high","very high",0,1,3,"high","Low(0-5 Years)",0,0,0,0
"254",254,"29 to 39","Yes","Travel_Rarely","Low(100-450)","Human Resources",">=16",5,"Human Resources",1842,"very high","Male","Very High (81-110)","very high",1,"Human Resources","low","Married","Low(1000-4000)",21495,0,"No",17,"high","high",0,2,4,"high","Low(0-5 Years)",0,0,0,1
"255",255,"40 to 50","No","Non-Travel","Low(100-450)","Research & Development","6-9 miles",1,"Medical",1468,"very high","Male","Medium (41-60)","medium",3,"Research Director","medium","Divorced","High (13001-16000)",25178,2,"No",11,"high","high",1,16,5,"high","low-Medium (6-10 Years)",8,4,8,0
"256",256,"40 to 50","No","Non-Travel","Low(100-450)","Research & Development","6-9 miles",3,"Life Sciences",1813,"low","Male","Medium (41-60)","high",1,"Research Scientist","high","Single","Low(1000-4000)",24978,4,"No",13,"high","high",0,7,2,"medium","Low(0-5 Years)",2,1,2,0
"257",257,"29 to 39","No","Travel_Frequently","Low(100-450)","Sales","3-5 miles",3,"Marketing",399,"very high","Female","Very High (81-110)","high",1,"Sales Representative","medium","Divorced","Low(1000-4000)",3909,1,"No",11,"high","high",1,2,5,"medium","Low(0-5 Years)",2,2,2,0
"258",258,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","6-9 miles",4,"Marketing",1428,"very high","Female","High (61-80)","high",2,"Sales Executive","low","Divorced","low-Medium (4001-7000)",12761,7,"No",14,"high","medium",2,8,3,"high","Low(0-5 Years)",2,0,2,0
"259",259,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","3-5 miles",3,"Life Sciences",1882,"high","Male","High (61-80)","high",3,"Sales Executive","very high","Married","Medium (7001-10000)",24444,2,"Yes",13,"high","very high",3,9,3,"high","Low(0-5 Years)",3,1,0,0
"260",260,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",1,"Other",1992,"very high","Male","Medium (41-60)","high",1,"Laboratory Technician","high","Divorced","Low(1000-4000)",7298,6,"Yes",19,"high","high",1,7,2,"medium","Low(0-5 Years)",2,0,2,0
"261",261,"29 to 39","Yes","Travel_Frequently","Medium (451-800)","Sales","<=2 miles",3,"Life Sciences",1379,"high","Female","Very High (81-110)","medium",1,"Sales Representative","very high","Single","Low(1000-4000)",11882,7,"No",14,"high","high",0,3,3,"very high","Low(0-5 Years)",0,0,0,1
"262",262,"29 to 39","Yes","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",4,"Technical Degree",1522,"low","Male","Very High (81-110)","medium",1,"Research Scientist","low","Single","Low(1000-4000)",7568,6,"No",13,"high","high",0,11,2,"low","low-Medium (6-10 Years)",7,0,7,1
"263",263,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",3,"Medical",325,"high","Male","Medium (41-60)","high",1,"Laboratory Technician","very high","Married","Low(1000-4000)",22149,5,"Yes",13,"high","high",1,8,2,"low","Low(0-5 Years)",4,0,4,1
"264",264,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Sales",">=16",3,"Technical Degree",974,"high","Female","Very High (81-110)","high",1,"Sales Representative","very high","Married","Low(1000-4000)",18203,1,"No",15,"high","medium",1,3,5,"high","Low(0-5 Years)",1,0,2,0
"265",265,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development",">=16",1,"Life Sciences",150,"medium","Male","Medium (41-60)","high",1,"Laboratory Technician","high","Married","Low(1000-4000)",13257,0,"No",12,"high","high",1,6,2,"high","Low(0-5 Years)",3,1,2,0
"266",266,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development",">=16",3,"Medical",14,"low","Male","Very High (81-110)","very high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",16479,0,"No",13,"high","high",1,6,5,"high","Low(0-5 Years)",4,0,3,0
"267",267,"29 to 39","No","Travel_Frequently","High (801-1150)","Research & Development","10-15 miles",3,"Medical",1485,"medium","Male","High (61-80)","high",4,"Research Director","low","Divorced","Very High (16001-19999)",11929,7,"No",14,"high","very high",2,16,3,"medium","Medium (11-15 Years)",8,6,9,0
"268",268,"29 to 39","Yes","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",4,"Life Sciences",1692,"very high","Male","Very High (81-110)","high",1,"Laboratory Technician","medium","Single","Low(1000-4000)",24852,1,"No",12,"high","low",0,1,2,"high","Low(0-5 Years)",0,0,0,1
"269",269,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Research & Development","6-9 miles",2,"Life Sciences",1970,"very high","Male","Low(0-40)","high",2,"Healthcare Representative","high","Divorced","low-Medium (4001-7000)",18079,1,"No",20,"very high","high",3,9,2,"high","low-Medium (6-10 Years)",7,2,8,0
"270",270,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Other",1084,"high","Male","Very High (81-110)","high",2,"Manufacturing Director","low","Married","Medium (7001-10000)",9096,0,"No",15,"high","high",1,7,1,"medium","low-Medium (6-10 Years)",2,0,2,0
"271",271,"40 to 50","No","Non-Travel","Medium (451-800)","Sales","<=2 miles",4,"Life Sciences",1845,"high","Female","High (61-80)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",19665,4,"No",22,"very high","medium",2,10,3,"very high","low-Medium (6-10 Years)",7,5,7,0
"272",272,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","3-5 miles",3,"Life Sciences",1658,"very high","Female","High (61-80)","high",2,"Research Scientist","medium","Divorced","low-Medium (4001-7000)",19332,1,"No",12,"high","high",1,11,2,"high","Medium (11-15 Years)",8,7,9,0
"273",273,"18 to 28","No","Travel_Rarely","Medium (451-800)","Sales",">=16",1,"Medical",1864,"medium","Female","Low(0-40)","medium",2,"Sales Representative","high","Married","Low(1000-4000)",7018,1,"No",21,"very high","very high",1,9,5,"high","low-Medium (6-10 Years)",8,5,8,0
"274",274,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales",">=16",4,"Marketing",1436,"high","Female","Very High (81-110)","medium",2,"Sales Executive","low","Married","low-Medium (4001-7000)",13494,4,"No",13,"high","low",2,11,3,"medium","Low(0-5 Years)",2,0,2,0
"275",275,"51 to 60","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",4,"Medical",254,"high","Male","High (61-80)","very high",5,"Research Director","medium","Single","Very High (16001-19999)",13339,8,"No",11,"high","very high",0,36,3,"high","High (21-25 Years)",15,2,15,0
"276",276,"51 to 60","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",4,"Technical Degree",1191,"very high","Female","Very High (81-110)","high",5,"Manager","low","Divorced","Very High (16001-19999)",18575,4,"No",13,"high","very high",1,28,2,"high","Low(0-5 Years)",2,4,2,0
"277",277,"18 to 28","No","Travel_Rarely","Low(100-450)","Research & Development","10-15 miles",3,"Medical",511,"low","Female","Medium (41-60)","high",1,"Research Scientist","medium","Married","Low(1000-4000)",24440,1,"No",13,"high","very high",1,2,1,"high","Low(0-5 Years)",1,1,2,0
"278",278,"40 to 50","No","Travel_Frequently","Low(100-450)","Research & Development","10-15 miles",4,"Life Sciences",430,"high","Female","Low(0-40)","high",1,"Laboratory Technician","very high","Single","Low(1000-4000)",10675,0,"No",19,"high","low",0,9,5,"high","low-Medium (6-10 Years)",7,1,7,0
"279",279,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Sales","3-5 miles",3,"Marketing",142,"high","Male","Medium (41-60)","medium",2,"Sales Executive","high","Single","low-Medium (4001-7000)",26959,1,"Yes",11,"high","very high",0,6,1,"high","low-Medium (6-10 Years)",4,0,3,1
"280",280,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",4,"Life Sciences",1501,"very high","Male","Low(0-40)","high",2,"Healthcare Representative","high","Married","low-Medium (4001-7000)",16143,0,"Yes",16,"high","medium",0,4,2,"high","Low(0-5 Years)",2,1,2,0
"281",281,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",3,"Medical",1706,"very high","Male","High (61-80)","high",2,"Sales Executive","very high","Married","Medium (7001-10000)",6069,1,"Yes",17,"high","low",1,10,3,"high","low-Medium (6-10 Years)",9,8,8,0
"282",282,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",3,"Medical",957,"very high","Male","Medium (41-60)","high",1,"Laboratory Technician","low","Single","low-Medium (4001-7000)",3119,2,"Yes",13,"high","high",0,20,3,"high","Medium-High (16-20 Years)",13,2,17,0
"283",283,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",3,"Life Sciences",1822,"high","Female","Medium (41-60)","high",2,"Healthcare Representative","very high","Divorced","low-Medium (4001-7000)",9060,4,"No",17,"high","very high",1,12,3,"high","Low(0-5 Years)",3,0,3,0
"284",284,"29 to 39","No","Travel_Rarely","Medium (451-800)","Sales","6-9 miles",3,"Marketing",438,"very high","Male","High (61-80)","high",2,"Sales Executive","very high","Divorced","Medium (7001-10000)",7143,4,"No",12,"high","very high",3,13,3,"high","low-Medium (6-10 Years)",7,1,7,0
"285",285,"29 to 39","No","Travel_Rarely","Low(100-450)","Human Resources","<=2 miles",3,"Human Resources",1152,"high","Male","Low(0-40)","very high",1,"Human Resources","high","Married","Low(1000-4000)",6004,1,"No",13,"high","very high",1,7,2,"very high","low-Medium (6-10 Years)",6,5,0,0
"286",286,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",4,"Life Sciences",1549,"medium","Male","High (61-80)","high",2,"Laboratory Technician","high","Married","low-Medium (4001-7000)",22949,1,"Yes",12,"high","medium",1,15,3,"high","Medium (11-15 Years)",14,5,7,0
"287",287,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",1,"Life Sciences",1878,"very high","Male","High (61-80)","high",1,"Research Scientist","medium","Single","Low(1000-4000)",26092,1,"Yes",23,"very high","low",0,1,2,"high","Low(0-5 Years)",0,0,0,1
"288",288,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",2,"Medical",18,"medium","Male","Very High (81-110)","high",1,"Laboratory Technician","very high","Divorced","Low(1000-4000)",8758,0,"No",11,"high","high",1,3,2,"high","Low(0-5 Years)",2,1,2,0
"289",289,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Sales","10-15 miles",2,"Technical Degree",154,"medium","Female","Very High (81-110)","high",3,"Sales Executive","very high","Married","Medium (7001-10000)",22952,0,"No",14,"high","high",1,10,6,"high","low-Medium (6-10 Years)",7,2,8,0
"290",290,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","6-9 miles",4,"Life Sciences",805,"low","Female","High (61-80)","high",1,"Sales Representative","very high","Married","Low(1000-4000)",20317,1,"No",16,"high","medium",1,3,1,"medium","Low(0-5 Years)",2,0,2,0
"291",291,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",4,"Medical",996,"very high","Female","Very High (81-110)","high",1,"Laboratory Technician","very high","Divorced","Low(1000-4000)",11005,3,"No",14,"high","very high",2,8,2,"high","Low(0-5 Years)",3,0,2,0
"292",292,"29 to 39","No","Non-Travel","High (801-1150)","Research & Development",">=16",4,"Life Sciences",419,"medium","Female","Medium (41-60)","high",2,"Laboratory Technician","medium","Married","low-Medium (4001-7000)",6927,7,"No",15,"high","high",1,11,3,"high","low-Medium (6-10 Years)",8,0,8,0
"293",293,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Medical",260,"very high","Female","Very High (81-110)","high",1,"Research Scientist","medium","Single","Low(1000-4000)",11781,1,"No",16,"high","very high",0,7,2,"medium","low-Medium (6-10 Years)",7,0,3,0
"294",294,"40 to 50","No","Non-Travel","Very High (1151-1500)","Research & Development","<=2 miles",1,"Medical",2000,"high","Female","Very High (81-110)","high",3,"Research Director","medium","Married","Medium-High (10001-13000)",17231,0,"No",18,"high","low",2,14,3,"low","Medium (11-15 Years)",8,5,12,0
"295",295,"40 to 50","No","Travel_Rarely","High (801-1150)","Human Resources","6-9 miles",2,"Medical",1550,"high","Male","Low(0-40)","high",4,"Manager","very high","Single","Very High (16001-19999)",17381,1,"Yes",21,"very high","very high",0,21,2,"high","High (21-25 Years)",7,7,7,0
"296",296,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",4,"Medical",2003,"very high","Male","Medium (41-60)","high",1,"Laboratory Technician","high","Married","Low(1000-4000)",20232,7,"Yes",11,"high","high",1,5,3,"high","Low(0-5 Years)",2,2,2,0
"297",297,"29 to 39","No","Travel_Frequently","High (801-1150)","Research & Development","<=2 miles",1,"Life Sciences",256,"very high","Male","Medium (41-60)","medium",2,"Manufacturing Director","high","Married","Medium (7001-10000)",14074,1,"No",17,"high","high",0,10,2,"medium","low-Medium (6-10 Years)",9,1,9,0
"298",298,"29 to 39","Yes","Travel_Frequently","Medium (451-800)","Research & Development","6-9 miles",3,"Life Sciences",147,"low","Male","High (61-80)","low",2,"Laboratory Technician","high","Single","low-Medium (4001-7000)",22887,1,"Yes",24,"very high","very high",0,9,3,"high","low-Medium (6-10 Years)",7,0,6,1
"299",299,"29 to 39","Yes","Non-Travel","Low(100-450)","Research & Development","6-9 miles",2,"Medical",991,"high","Male","Medium (41-60)","medium",1,"Research Scientist","low","Single","Low(1000-4000)",10322,0,"Yes",22,"very high","low",0,4,0,"high","Low(0-5 Years)",2,1,2,1
"300",300,"18 to 28","Yes","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",4,"Medical",440,"low","Male","Very High (81-110)","low",1,"Research Scientist","very high","Married","Low(1000-4000)",24737,5,"Yes",13,"high","very high",0,5,4,"medium","Low(0-5 Years)",2,2,2,1
"301",301,"29 to 39","No","Travel_Frequently","Low(100-450)","Sales","3-5 miles",2,"Life Sciences",889,"medium","Male","Medium (41-60)","high",2,"Sales Executive","medium","Married","low-Medium (4001-7000)",8891,1,"No",14,"high","very high",1,10,3,"high","low-Medium (6-10 Years)",8,5,3,0
"302",302,"29 to 39","No","Travel_Frequently","High (801-1150)","Sales",">=16",5,"Life Sciences",74,"medium","Male","High (61-80)","high",3,"Sales Executive","low","Married","Medium (7001-10000)",11031,1,"No",22,"very high","very high",1,9,3,"medium","low-Medium (6-10 Years)",8,1,8,0
"303",303,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Technical Degree",1694,"low","Male","Very High (81-110)","medium",1,"Research Scientist","medium","Divorced","Low(1000-4000)",23737,5,"No",12,"high","very high",1,8,1,"high","Low(0-5 Years)",2,1,2,0
"304",304,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",4,"Medical",2008,"medium","Male","Medium (41-60)","high",2,"Research Scientist","high","Single","low-Medium (4001-7000)",18698,1,"No",19,"high","medium",0,10,5,"high","low-Medium (6-10 Years)",7,0,8,0
"305",305,"51 to 60","Yes","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Technical Degree",977,"very high","Male","Medium (41-60)","high",1,"Research Scientist","high","Single","Low(1000-4000)",26227,4,"No",24,"very high","low",0,7,4,"high","Low(0-5 Years)",0,0,0,1
"306",306,"18 to 28","No","Non-Travel","Very High (1151-1500)","Research & Development","3-5 miles",1,"Life Sciences",888,"low","Male","Medium (41-60)","medium",1,"Laboratory Technician","very high","Married","Low(1000-4000)",10778,0,"No",17,"high","very high",0,6,2,"medium","Low(0-5 Years)",2,3,4,0
"307",307,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Life Sciences",1030,"low","Male","High (61-80)","high",1,"Laboratory Technician","very high","Married","Low(1000-4000)",20165,4,"No",18,"high","medium",0,8,5,"high","Low(0-5 Years)",0,0,0,0
"308",308,"29 to 39","No","Non-Travel","Medium (451-800)","Research & Development","3-5 miles",4,"Life Sciences",1115,"high","Male","Low(0-40)","medium",1,"Research Scientist","very high","Married","Low(1000-4000)",22478,3,"No",17,"high","very high",3,6,2,"high","Low(0-5 Years)",0,0,0,0
"309",309,"51 to 60","No","Travel_Frequently","Low(100-450)","Research & Development",">=16",4,"Medical",1034,"high","Male","High (61-80)","high",2,"Healthcare Representative","medium","Married","low-Medium (4001-7000)",12992,3,"Yes",14,"high","very high",2,17,3,"high","low-Medium (6-10 Years)",7,6,7,0
